DeletionFlag,StreetName,Address,ZipCode,X_COORD,Y_COORD
,MAYAPPLE RD,335,06903,-73.57525358,41.16403788
,BLACK TWIG PL,48,06903,-73.56473661,41.16418911
,BLACK TWIG PL,45,06903,-73.56589563,41.16412183
,ROCK RIMMON RD,957,06903,-73.57742388,41.16379508
,RUSSET RD,138,06903,-73.56333224,41.16412723
,ROCK RIMMON RD,981,06903,-73.5795334,41.16358879
,HIGH RIDGE RD,2856,06903,-73.56108142,41.16409095
,MC INTOSH RD,52,06903,-73.56837767,41.16393975
,MC INTOSH RD,48,06903,-73.56906706,41.16378752
,SPRING HILL LN N,50,06903,-73.55793939,41.16366771
,BLACK TWIG PL,52,06903,-73.56500095,41.16379526
,MC INTOSH RD,65,06903,-73.56740493,41.16389458
,RUSSET RD,117,06903,-73.56243058,41.163661
,BLACK TWIG PL,49,06903,-73.56639178,41.16358618
,MAYAPPLE RD,333,06903,-73.57444219,41.16317783
,BLACK TWIG PL,51,06903,-73.56597348,41.16332093
,RUSSET RD,124,06903,-73.56316579,41.1636668
,CRAB APPLE PL,44,06903,-73.56440448,41.16342401
,BLACK TWIG PL,54,06903,-73.56550717,41.16363954
,HIGH RIDGE RD,2844,06903,-73.56065361,41.16371931
,HIGH RIDGE RD,2828,06903,-73.56145226,41.16329596
,MC INTOSH RD,38,06903,-73.56876479,41.16334878
,MC INTOSH RD,39,06903,-73.56742879,41.16342627
,ROCK RIMMON RD,925,06903,-73.57655435,41.16292437
,ROCK RIMMON RD,905,06903,-73.57562735,41.16246472
,LONG RIDGE RD,2949,06903,-73.594362,41.16085199
,HIGH RIDGE RD,2829,06903,-73.55997552,41.16339098
,MC INTOSH RD,24,06903,-73.56833954,41.16308238
,RUSSET RD,101,06903,-73.56233915,41.16302337
,CRAB APPLE PL,48,06903,-73.56413293,41.16298216
,SPRING HILL LN E,9,06903,-73.55371509,41.16295999
,CRAB APPLE PL,40,06903,-73.5650326,41.16291754
,MAYAPPLE RD,272,06903,-73.57091233,41.1631151
,RUSSET RD,106,06903,-73.56300343,41.16322539
,ROCK RIMMON RD,976,06903,-73.57892962,41.16278871
,LAUREL RD,229,06903,-73.55231876,41.16307525
,MC INTOSH RD,19,06903,-73.56790368,41.16263262
,ROCK RIMMON RD,934,06903,-73.57789776,41.16257755
,HIGH RIDGE RD,2810,06903,-73.56125527,41.16273315
,WINESAP RD,133,06903,-73.56715846,41.16256525
,SPRING HILL LN E,21,06903,-73.55366624,41.16231764
,ROCK RIMMON RD,950,06903,-73.57869334,41.162117
,ROCK RIMMON RD,992,06903,-73.57927919,41.16211138
,ROCK RIMMON RD,996,06903,-73.57960132,41.1624949
,WINESAP RD,125,06903,-73.56676991,41.16248263
,CRAB APPLE PL,34,06903,-73.56552315,41.1626849
,SPRING HILL LN E,47,06903,-73.55487374,41.16236684
,MC INTOSH RD,18,06903,-73.56854552,41.16267445
,HIGH RIDGE RD,2811,06903,-73.55989979,41.1627434
,ROCK RIMMON RD,1010,06903,-73.58050338,41.16236453
,INGLESIDE DR,320,06903,-73.5517586,41.16297581
,RESERVOIR LN,19,06903,-73.5479093,41.16260263
,RUSSET RD,90,06903,-73.56313414,41.16265529
,INGLESIDE DR,325,06903,-73.55119501,41.16278643
,CRAB APPLE PL,37,06903,-73.56400705,41.16247738
,ROCK RIMMON RD,926,06903,-73.57744285,41.16236267
,RUSSET RD,87,06903,-73.56241298,41.16257495
,ROCK RIMMON RD,1012,06903,-73.57998787,41.16167802
,INGLESIDE DR,294,06903,-73.55244411,41.16235159
,ROCK RIMMON RD,1016,06903,-73.58023491,41.1611681
,WINESAP RD,109,06903,-73.56612698,41.16237699
,SPRING HILL LN E,63,06903,-73.55566661,41.16225665
,ROCK RIMMON RD,1038,06903,-73.58123487,41.16174967
,SHADY KNOLL DR,124,06903,-73.55869738,41.16246701
,WOODBINE RD,477,06903,-73.54757211,41.16219138
,RESERVOIR LN,9,06903,-73.54840902,41.1624453
,INGLESIDE DR,307,06903,-73.55136896,41.16212394
,WOODBINE RD,518,06903,-73.54950863,41.16244723
,INGLESIDE DR,286,06903,-73.55276892,41.16209529
,ROCK RIMMON RD,1089,06903,-73.58398742,41.16198792
,HIGH RIDGE RD,2797,06903,-73.55979334,41.16226508
,MAYAPPLE RD,300,06903,-73.57154211,41.16188228
,ROCK RIMMON RD,885,06903,-73.57533953,41.16193107
,WINESAP RD,77,06903,-73.56587721,41.1617709
,CRAB APPLE PL,33,06903,-73.56438537,41.16217721
,MAYAPPLE RD,337,06903,-73.57353103,41.16202918
,ROCK RIMMON RD,1093,06903,-73.58451656,41.16186226
,WOODBINE RD,510,06903,-73.55021537,41.16228863
,CRAB APPLE PL,8,06903,-73.56547217,41.16174542
,ROCK RIMMON RD,1044,06903,-73.58219242,41.16203422
,HIGH RIDGE RD,2790,06903,-73.56092112,41.16226272
,ROCK RIMMON RD,1111,06903,-73.58501879,41.16200076
,ROCK RIMMON RD,910,06903,-73.57675288,41.16190162
,WINESAP RD,155,06903,-73.56875964,41.16219755
,MAYAPPLE RD,363,06903,-73.57454108,41.1614301
,RUSSET RD,76,06903,-73.5630297,41.16205052
,RUSSET RD,71,06903,-73.56233038,41.16213745
,WOODBINE RD,461,06903,-73.54683433,41.16204307
,ROCK RIMMON RD,1181,06903,-73.58621911,41.16169792
,WINESAP RD,118,06903,-73.56715999,41.16200998
,INGLESIDE DR,299,06903,-73.55202165,41.16213478
,WINESAP RD,142,06903,-73.56782215,41.16199905
,WINESAP RD,59,06903,-73.56480736,41.16151961
,MAYAPPLE RD,349,06903,-73.57408724,41.1618535
,SHADY KNOLL DR,100,06903,-73.55858743,41.16163198
,ROCK RIMMON RD,1080,06903,-73.5824601,41.16092505
,ROCK RIMMON RD,1267,06903,-73.58977493,41.16016027
,ROCK RIMMON RD,912,06903,-73.577371,41.16168773
,APPLE VALLEY RD,17,06903,-73.57245142,41.16158832
,INGLESIDE DR,289,06903,-73.55230043,41.16199113
,ROCK RIMMON RD,1219,06903,-73.58791392,41.16078127
,WINESAP RD,104,06903,-73.56665865,41.16152664
,HIGH RIDGE RD,2784,06903,-73.56109951,41.16190672
,WINESAP RD,41,06903,-73.56427003,41.16144298
,WINESAP RD,159,06903,-73.56892815,41.16178762
,WINESAP RD,162,06903,-73.5682233,41.16169301
,RUSSET RD,55,06903,-73.56213362,41.16162987
,ROCK RIMMON RD,1113,06903,-73.5850478,41.16144394
,WINESAP RD,27,06903,-73.56383279,41.16144553
,ROCK RIMMON RD,1086,06903,-73.58200688,41.15970612
,HIGH RIDGE RD,2779,06903,-73.55981243,41.16164343
,ROCK RIMMON RD,1088,06903,-73.58293364,41.15929442
,ROCK RIMMON RD,914,06903,-73.57850243,41.16120694
,MAYAPPLE RD,342,06903,-73.57320593,41.16110385
,INGLESIDE DR,281,06903,-73.55244613,41.16172265
,ROCK MEADOW LN,31,06903,-73.58204316,41.16124916
,APPLE VALLEY RD,23,06903,-73.57049687,41.16137565
,INGLESIDE DR,258,06903,-73.55321886,41.16109522
,WOODBINE RD,482,06903,-73.54830058,41.16161705
,ROCK RIMMON RD,1177,06903,-73.58598312,41.16103202
,ROCK RIMMON RD,900,06903,-73.57683029,41.16133403
,HIGH RIDGE RD,2770,06903,-73.56100875,41.16152689
,INGLESIDE DR,200,06903,-73.55564342,41.16141592
,ROCK RIMMON RD,1100,06903,-73.58342694,41.16055896
,WINESAP RD,169,06903,-73.56901972,41.16146003
,MAYAPPLE RD,377,06903,-73.57516986,41.16123481
,WOODBINE RD,500,06903,-73.55037131,41.16041406
,RUSSET RD,48,06903,-73.56268172,41.16121464
,RUSSET RD,29,06903,-73.56162698,41.1611444
,INGLESIDE DR,265,06903,-73.55257842,41.1613914
,WINESAP RD,100,06903,-73.56688549,41.16111235
,WOODBINE RD,474,06903,-73.5481313,41.16126383
,SHADY KNOLL DR,86,06903,-73.55857629,41.16108868
,SHADY KNOLL DR,75,06903,-73.55674436,41.161063
,WINESAP RD,74,06903,-73.56582153,41.1611764
,WINESAP RD,172,06903,-73.56820574,41.16121506
,WYNNEWOOD LN,12,06903,-73.55223836,41.1608124
,ROCK RIMMON RD,874,06903,-73.57703876,41.160578
,APPLE VALLEY RD,40,06903,-73.57107461,41.16107043
,ROCK RIMMON RD,1102,06903,-73.58379924,41.16096298
,ROCK RIMMON RD,916,06903,-73.57904939,41.16072935
,ROCK RIMMON RD,918,06903,-73.57968261,41.16075532
,APPLE VALLEY RD,31,06903,-73.57219438,41.16107926
,ROCK MEADOW LN,40,06903,-73.58134926,41.16087218
,WOODBINE RD,429,06903,-73.5459159,41.16085763
,ROCK MEADOW LN,35,06903,-73.58140409,41.15956385
,WINESAP RD,22,06903,-73.56315157,41.16105092
,MAYAPPLE RD,350,06903,-73.57284329,41.1606282
,RUSSET RD,7,06903,-73.56087255,41.16101818
,WINESAP RD,62,06903,-73.56516831,41.16104318
,ROCK RIMMON RD,1175,06903,-73.58621811,41.16063714
,HIGH RIDGE RD,2761,06903,-73.55991827,41.16115208
,MAYAPPLE RD,354,06903,-73.57370512,41.16057285
,WINESAP RD,179,06903,-73.56916104,41.16110839
,ROCK MEADOW LN,39,06903,-73.58141867,41.16013748
,INGLESIDE DR,261,06903,-73.55224707,41.16115796
,WINESAP RD,52,06903,-73.56469311,41.16091258
,WOODBINE RD,456,06903,-73.54747912,41.16103188
,ROCK RIMMON RD,1271,06903,-73.59020661,41.16000831
,ROCK RIMMON RD,841,06903,-73.5747146,41.16041045
,WINESAP RD,30,06903,-73.56364247,41.16084421
,THORNWOOD RD,253,06903,-73.54253004,41.16090802
,APPLE VALLEY RD,49,06903,-73.57187886,41.16055466
,BREEZY HILL RD,159,06903,-73.57988435,41.15973948
,WINESAP RD,36,06903,-73.56408678,41.16087196
,INGLESIDE DR,192,06903,-73.55588938,41.16077105
,WINESAP RD,182,06903,-73.56859833,41.16042775
,LONG RIDGE RD,2905,06903,-73.59609818,41.16026504
,ROCK RIMMON RD,856,06903,-73.57575528,41.1606887
,RUSSET RD,42,06903,-73.56216509,41.16070097
,WINESAP RD,200,06903,-73.56737071,41.16046983
,SHADY KNOLL DR,74,06903,-73.5582962,41.16058418
,APPLE VALLEY RD,50,06903,-73.57102171,41.16077689
,HIGH RIDGE RD,2753,06903,-73.55989345,41.16075603
,WINESAP RD,181,06903,-73.5692416,41.16055591
,BREEZY HILL RD,163,06903,-73.58045314,41.16022738
,WINESAP RD,185,06903,-73.56998981,41.16067615
,LONG RIDGE RD,2916,06903,-73.59720863,41.16035159
,MERRILAND RD,42,06903,-73.56676617,41.16035641
,MERRILAND RD,44,06903,-73.56628315,41.160435
,ROCK RIMMON RD,1257,06903,-73.58926001,41.15990902
,THORNWOOD RD,248,06903,-73.54344859,41.16064367
,FERNWOOD DR,23,06903,-73.54720278,41.16037721
,SHADY KNOLL DR,49,06903,-73.55652995,41.16012888
,BRIAR BRAE RD,131,06903,-73.56510063,41.15977099
,RUSSET RD,26,06903,-73.56163272,41.16045741
,THORNWOOD RD,239,06903,-73.5423141,41.1605896
,INGLESIDE DR,226,06903,-73.55362841,41.16053846
